ID,type,city,postcode,lat,lon,rentGross,livingSpace,numberOfRooms,yearBuilt,hasBalcony,hasElevator,hasParking
4000906965,"['HOUSE', 'SINGLE_HOUSE']",Filzbach,8757,47.120461781979,9.131932311604,1980.0,82.0,3.0,2024.0,False,False,False
4000997183,"['APARTMENT', 'STUDIO']",Döttingen,5312,47.570971781977,8.256332311603,915.0,45.0,1.0,2009.0,False,True,False
4001099145,"['APARTMENT', 'FLAT']",Uster,8610,47.352411781975,8.718372311603,2270.0,88.0,3.5,2012.0,False,False,True
4001028409,"['APARTMENT', 'DUPLEX']",Kriens,6010,47.028211781976,8.301092311606,2490.0,117.0,3.5,2018.0,False,False,False
4000888461,['APARTMENT'],Benzenschwil,5636,47.247751781976,8.365612311601,2300.0,94.0,4.5,2024.0,True,True,False
4001110210,"['APARTMENT', 'FLAT']",Wetzikon ZH,8623,47.329231781971,8.820222311602,2133.0,86.0,4.5,1975.0,False,False,False
4000255237,"['APARTMENT', 'LOFT']",Murg,8877,47.112021781971,9.217332311603,2500.0,155.0,2.5,2014.0,True,False,True
4000871597,"['APARTMENT', 'FLAT']",Zürich,8052,47.423281781972,8.542262311602,3405.0,88.0,3.5,2014.0,False,False,False
4001075539,"['APARTMENT', 'FLAT']",Hägendorf,4614,47.333671781978,7.837252311601,2615.0,122.0,4.5,2024.0,True,True,True
4001146787,"['APARTMENT', 'SINGLE_ROOM']",Bülach,8180,47.519551781975,8.541402311603,1150.0,18.0,1.0,2014.0,True,True,False
3003501977,"['APARTMENT', 'FLAT']",Biberist,4562,47.181611781971,7.557832311609,1590.0,72.0,2.5,2014.0,True,True,True
4001133144,"['APARTMENT', 'DUPLEX']",St. Gallen,9015,47.406931781974,9.320232311606,2130.0,125.0,4.5,2010.0,True,False,False
4001098917,"['APARTMENT', 'FLAT']",Basel,4057,47.576141781974,7.589642311605,1210.0,38.0,1.5,2014.0,True,True,True
4001132630,"['APARTMENT', 'FLAT']",Aigle,1860,46.317161781976,6.973412311604,1590.0,60.0,2.5,2024.0,True,True,True
4001122447,"['APARTMENT', 'FLAT']",Strengelbach,4802,47.282801781974,7.934752311601,2095.0,112.0,4.5,2015.0,False,True,False
4001010764,"['APARTMENT', 'FLAT']",St. Gallen,9000,47.424561781974,9.374892311604,2100.0,103.0,3.5,2014.0,True,True,False
4001146455,"['APARTMENT', 'FLAT']",Lohn-Ammannsegg,4573,47.170701781971,7.530602311605,1760.0,83.0,3.5,2019.0,True,True,True
3001180961,"['APARTMENT', 'FLAT']",Suhr,5034,47.372881781978,8.082132311602,1140.0,26.0,1.0,2017.0,False,True,False
4000996796,"['APARTMENT', 'FLAT']",Basel,4056,47.566271781971,7.575232311601,1637.0,60.0,2.0,1936.0,True,False,False
4001075292,"['APARTMENT', 'FLAT']",Jussy,1254,46.234951781979,6.265522311608,5600.0,143.0,7.0,2024.0,False,False,True
4001074751,['APARTMENT'],Stabio,6855,45.853501781976,8.943242311601,1200.0,54.0,2.5,2023.0,True,True,False
4000931798,"['APARTMENT', 'FLAT']",Pully,1009,46.510771781974,6.657352311606,5240.0,110.0,4.5,2023.0,True,False,False
3003500636,"['APARTMENT', 'FLAT']",Stabio,6854,45.857071781971,8.941482311601,1300.0,57.0,2.5,2023.0,True,True,True
4001100927,"['APARTMENT', 'FLAT']",Romanshorn,8590,47.566161781977,9.378192311604,1740.0,86.0,3.5,2017.0,True,True,False
4001146680,"['APARTMENT', 'FLAT']",Genève,1207,46.205021781979,6.162252311601,2356.0,53.0,3.0,2016.0,False,True,True
4001075866,"['APARTMENT', 'FLAT']",Moudon,1510,46.672451781974,6.804292311601,2485.0,93.0,4.5,2024.0,True,False,False
4000475311,"['HOUSE', 'ROW_HOUSE']",Domdidier,1564,46.865071781971,7.007092311606,2470.0,102.0,4.5,2024.0,True,False,True
4000906608,"['APARTMENT', 'FLAT']",Lyss,3250,47.078191781975,7.303992311602,1845.0,93.0,3.5,2011.0,True,True,False
4001133240,"['HOUSE', 'BIFAMILIAR_HOUSE']",Oetwil am See,8618,47.270211781975,8.720422311602,3025.0,113.0,5.5,2015.0,True,False,True
4001123028,"['APARTMENT', 'FLAT']",Zürich,8003,47.373331781975,8.519422311607,3710.0,60.0,2.5,2014.0,True,True,True
4001133464,"['APARTMENT', 'FLAT']",Horgen,8810,47.259671781979,8.587972311602,1950.0,55.0,1.5,2024.0,False,True,False
4000441910,"['APARTMENT', 'FLAT']",Rohrbach,4938,47.136031781976,7.811652311609,1650.0,115.0,4.5,2019.0,True,True,True
4001010785,"['APARTMENT', 'FLAT']",St. Gallen,9000,47.424561781974,9.374892311604,1810.0,78.0,2.5,2014.0,True,True,False
4001099156,"['APARTMENT', 'FLAT']",Zürich,8057,47.402311781977,8.531102311608,3500.0,100.0,3.5,2014.0,False,False,False
4000929238,"['APARTMENT', 'FLAT']",Romanshorn,8590,47.565821781976,9.378702311601,1595.0,62.0,2.5,2017.0,False,True,False
4001132700,"['APARTMENT', 'LOFT']",Bern,3007,46.939851781978,7.440122311601,2760.0,64.0,2.5,1971.0,True,True,False
4000873185,"['APARTMENT', 'FLAT']",Zofingen,4800,47.284251781978,7.944972311609,2200.0,107.0,4.5,2010.0,True,True,True
4001100925,"['APARTMENT', 'FLAT']",Bulle,1630,46.624551781979,7.056722311602,1850.0,84.0,3.5,2017.0,False,True,True
4001110687,"['APARTMENT', 'FLAT']",Rorschach,9400,47.474681781979,9.483722311605,1460.0,63.0,2.5,2016.0,False,True,True
